"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2485","shouldNotUploadDogImage","","Sun Jun 01 00:10:36 GMT 2025","passed","Sun Jun 01 00:10:38 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldNotUploadDogImage"
"","353","healthCheck","","Sun Jun 01 00:10:24 GMT 2025","passed","Sun Jun 01 00:10:25 GMT 2025","","com.clark.general.BreedsHealthCheckTest","com.clark.general.BreedsHealthCheckTest","healthCheck"
"","425","shouldNotFavouriteImageDontExist","","Sun Jun 01 00:10:25 GMT 2025","passed","Sun Jun 01 00:10:25 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldNotFavouriteImageDontExist"
"","2248","imagesUploadContractOnV1","","Sun Jun 01 00:10:31 GMT 2025","passed","Sun Jun 01 00:10:33 GMT 2025","","com.clark.images.ImagesContractTest","com.clark.images.ImagesContractTest","imagesUploadContractOnV1"
"","2616","favouritePOSTContractOnV1","","Sun Jun 01 00:10:28 GMT 2025","passed","Sun Jun 01 00:10:31 GMT 2025","","com.clark.favourite.FavouriteContractTest","com.clark.favourite.FavouriteContractTest","favouritePOSTContractOnV1"
"","2544","shouldFavouriteImageWithSuccess","","Sun Jun 01 00:10:25 GMT 2025","passed","Sun Jun 01 00:10:28 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldFavouriteImageWithSuccess"
"","8185","completeSimulation","","Sun Jun 01 00:10:16 GMT 2025","passed","Sun Jun 01 00:10:24 GMT 2025","","com.clark.e2e.FullE2ETest","com.clark.e2e.FullE2ETest","completeSimulation"
"","315","shouldNotFavouriteSameImageAgain","","Sun Jun 01 00:10:28 GMT 2025","passed","Sun Jun 01 00:10:28 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldNotFavouriteSameImageAgain"
"","420","shouldNotUploadCatImageWithIncompleteFormData","","Sun Jun 01 00:10:35 GMT 2025","passed","Sun Jun 01 00:10:36 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldNotUploadCatImageWithIncompleteFormData"
"","2262","shouldUploadCatImage","","Sun Jun 01 00:10:33 GMT 2025","passed","Sun Jun 01 00:10:35 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldUploadCatImage"
