"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 01 00:00:13 UTC 2025","Sun Jun 01 00:00:16 UTC 2025","2748","","com.clark.favourite.FavouriteContractTest","","com.clark.favourite.FavouriteContractTest","favouritePOSTContractOnV1","favouritePOSTContractOnV1",""
"passed","Sun Jun 01 00:00:16 UTC 2025","Sun Jun 01 00:00:18 UTC 2025","2026","","com.clark.images.ImagesContractTest","","com.clark.images.ImagesContractTest","imagesUploadContractOnV1","imagesUploadContractOnV1",""
"passed","Sun Jun 01 00:00:09 UTC 2025","Sun Jun 01 00:00:10 UTC 2025","387","","com.clark.general.BreedsHealthCheckTest","","com.clark.general.BreedsHealthCheckTest","healthCheck","healthCheck",""
"passed","Sun Jun 01 00:00:21 UTC 2025","Sun Jun 01 00:00:23 UTC 2025","2459","","com.clark.images.ImagesFunctionalTest","","com.clark.images.ImagesFunctionalTest","shouldNotUploadDogImage","shouldNotUploadDogImage",""
"passed","Sun Jun 01 00:00:10 UTC 2025","Sun Jun 01 00:00:13 UTC 2025","2653","","com.clark.favourite.FavouriteFunctionalTest","","com.clark.favourite.FavouriteFunctionalTest","shouldFavouriteImageWithSuccess","shouldFavouriteImageWithSuccess",""
"passed","Sun Jun 01 00:00:20 UTC 2025","Sun Jun 01 00:00:21 UTC 2025","464","","com.clark.images.ImagesFunctionalTest","","com.clark.images.ImagesFunctionalTest","shouldNotUploadCatImageWithIncompleteFormData","shouldNotUploadCatImageWithIncompleteFormData",""
"passed","Sun Jun 01 00:00:13 UTC 2025","Sun Jun 01 00:00:13 UTC 2025","355","","com.clark.favourite.FavouriteFunctionalTest","","com.clark.favourite.FavouriteFunctionalTest","shouldNotFavouriteSameImageAgain","shouldNotFavouriteSameImageAgain",""
"passed","Sun Jun 01 00:00:18 UTC 2025","Sun Jun 01 00:00:20 UTC 2025","2163","","com.clark.images.ImagesFunctionalTest","","com.clark.images.ImagesFunctionalTest","shouldUploadCatImage","shouldUploadCatImage",""
"passed","Sat May 31 23:59:58 UTC 2025","Sun Jun 01 00:00:09 UTC 2025","11735","","com.clark.e2e.FullE2ETest","","com.clark.e2e.FullE2ETest","completeSimulation","completeSimulation",""
"passed","Sun Jun 01 00:00:10 UTC 2025","Sun Jun 01 00:00:10 UTC 2025","421","","com.clark.favourite.FavouriteFunctionalTest","","com.clark.favourite.FavouriteFunctionalTest","shouldNotFavouriteImageDontExist","shouldNotFavouriteImageDontExist",""
